ts,lat,lon,value
Sat Mar 30 2019 23:52:33 GMT+0000 (Coordinated Universal Time),"53.34993659000","6.46295799100",0.083
Sat Mar 30 2019 23:52:30 GMT+0000 (Coordinated Universal Time),"53.34992701800","6.46298225200",0.259
Sat Mar 30 2019 23:52:27 GMT+0000 (Coordinated Universal Time),"53.34992842600","6.46302516400",0.079
Sat Mar 30 2019 23:52:26 GMT+0000 (Coordinated Universal Time),"53.34991718400","6.46306145100",0.049
Sat Mar 30 2019 23:52:25 GMT+0000 (Coordinated Universal Time),"53.34990434300","6.46310857700",0.2
Sat Mar 30 2019 23:52:24 GMT+0000 (Coordinated Universal Time),"53.34993498300","6.46317690000",0.078
Sat Mar 30 2019 23:52:23 GMT+0000 (Coordinated Universal Time),"53.34993812900","6.46320869500",0.118
Sat Mar 30 2019 23:52:18 GMT+0000 (Coordinated Universal Time),"53.34999125000","6.46295358000",0.083
Sat Mar 30 2019 23:52:13 GMT+0000 (Coordinated Universal Time),"53.34998214400","6.46297538600",0.136
Sat Mar 30 2019 23:52:10 GMT+0000 (Coordinated Universal Time),"53.34997056300","6.46299477800",0.03
Sat Mar 30 2019 23:52:08 GMT+0000 (Coordinated Universal Time),"53.34995207400","6.46301598300",0.104
Sat Mar 30 2019 23:52:06 GMT+0000 (Coordinated Universal Time),"53.34993392900","6.46304158600",0.054
Sat Mar 30 2019 23:52:04 GMT+0000 (Coordinated Universal Time),"53.34992363700","6.46306425500",0.034
Sat Mar 30 2019 23:52:02 GMT+0000 (Coordinated Universal Time),"53.34990756100","6.46308841200",0.075
Sat Mar 30 2019 23:52:01 GMT+0000 (Coordinated Universal Time),"53.34989849200","6.46310104500",0.093
Sat Mar 30 2019 23:51:58 GMT+0000 (Coordinated Universal Time),"53.34988068400","6.46311104300",0.009
Sat Mar 30 2019 23:51:56 GMT+0000 (Coordinated Universal Time),"53.34986491700","6.46310897500",0.167
Sat Mar 30 2019 23:51:51 GMT+0000 (Coordinated Universal Time),"53.34988430000","6.46309041700",0.072
Sat Mar 30 2019 23:51:50 GMT+0000 (Coordinated Universal Time),"53.34990023700","6.46307959500",0.228
Sat Mar 30 2019 23:51:49 GMT+0000 (Coordinated Universal Time),"53.34992604400","6.46305898200",0.109
Sat Mar 30 2019 23:51:48 GMT+0000 (Coordinated Universal Time),"53.34995487500","6.46302395800",0.029
Sat Mar 30 2019 23:51:47 GMT+0000 (Coordinated Universal Time),"53.34999685000","6.46296804400",0.031
Sat Mar 30 2019 23:51:43 GMT+0000 (Coordinated Universal Time),"53.34960463500","6.46345981500",0.084
Sat Mar 30 2019 23:51:36 GMT+0000 (Coordinated Universal Time),"53.34959316800","6.46346375300",0.022
Sat Mar 30 2019 23:51:32 GMT+0000 (Coordinated Universal Time),"53.34958757500","6.46348075600",0.04
Sat Mar 30 2019 23:51:29 GMT+0000 (Coordinated Universal Time),"53.34957829900","6.46350273300",0.046
Sat Mar 30 2019 23:51:27 GMT+0000 (Coordinated Universal Time),"53.34957196400","6.46352630900",0.014
Sat Mar 30 2019 23:51:25 GMT+0000 (Coordinated Universal Time),"53.34956178400","6.46355806900",0.026
Sat Mar 30 2019 23:51:21 GMT+0000 (Coordinated Universal Time),"53.34956709500","6.46357597700",0.048
Sat Mar 30 2019 23:51:17 GMT+0000 (Coordinated Universal Time),"53.34957408500","6.46361623200",0.053
Sat Mar 30 2019 23:51:16 GMT+0000 (Coordinated Universal Time),"53.34957886100","6.46363760300",0.043
Sat Mar 30 2019 23:51:15 GMT+0000 (Coordinated Universal Time),"53.34958133800","6.46366196000",0.028
Sat Mar 30 2019 23:51:14 GMT+0000 (Coordinated Universal Time),"53.34959247900","6.46367352300",0.003
Sat Mar 30 2019 23:51:13 GMT+0000 (Coordinated Universal Time),"53.34962114000","6.46368073100",0.03
Sat Mar 30 2019 23:51:12 GMT+0000 (Coordinated Universal Time),"53.34969537200","6.46361831000",0.026
Sat Mar 30 2019 23:51:07 GMT+0000 (Coordinated Universal Time),"53.34973211100","6.46342098200",0.06
Sat Mar 30 2019 23:51:02 GMT+0000 (Coordinated Universal Time),"53.34973815200","6.46340436600",0.019
Sat Mar 30 2019 23:50:57 GMT+0000 (Coordinated Universal Time),"53.34973962600","6.46338506100",0.056
Sat Mar 30 2019 23:50:52 GMT+0000 (Coordinated Universal Time),"53.34973698200","6.46336341000",0.055
Sat Mar 30 2019 23:50:49 GMT+0000 (Coordinated Universal Time),"53.34974097400","6.46334206400",0.042
Sat Mar 30 2019 23:50:46 GMT+0000 (Coordinated Universal Time),"53.34975033400","6.46332258100",0.043
Sat Mar 30 2019 23:50:43 GMT+0000 (Coordinated Universal Time),"53.34976551600","6.46330683300",0.042
Sat Mar 30 2019 23:50:42 GMT+0000 (Coordinated Universal Time),"53.34974810700","6.46331544600",0.05
Sat Mar 30 2019 23:50:41 GMT+0000 (Coordinated Universal Time),"53.34976654100","6.46332356800",0.044
Sat Mar 30 2019 23:50:40 GMT+0000 (Coordinated Universal Time),"53.34979383400","6.46331181900",0.076
Sat Mar 30 2019 23:50:39 GMT+0000 (Coordinated Universal Time),"53.34986018900","6.46327999900",0.042
Sat Mar 30 2019 23:50:38 GMT+0000 (Coordinated Universal Time),"53.34992391900","6.46326810000",0.075
Sat Mar 30 2019 23:50:37 GMT+0000 (Coordinated Universal Time),"53.35000907100","6.46326511000",0.055
Sat Mar 30 2019 23:50:36 GMT+0000 (Coordinated Universal Time),"53.35027385100","6.46291967600",0.806
Sat Mar 30 2019 23:50:31 GMT+0000 (Coordinated Universal Time),"53.34969686200","6.46304949600",0.039
Sat Mar 30 2019 23:50:20 GMT+0000 (Coordinated Universal Time),"53.34968461200","6.46305945500",0.043
Sat Mar 30 2019 23:50:15 GMT+0000 (Coordinated Universal Time),"53.34967305300","6.46306405000",0.091
Sat Mar 30 2019 23:50:11 GMT+0000 (Coordinated Universal Time),"53.34966293200","6.46307339700",0.02
Sat Mar 30 2019 23:50:06 GMT+0000 (Coordinated Universal Time),"53.34964916900","6.46307193700",0.041
Sat Mar 30 2019 23:50:04 GMT+0000 (Coordinated Universal Time),"53.34962896100","6.46306661800",0.056
Sat Mar 30 2019 23:50:02 GMT+0000 (Coordinated Universal Time),"53.34960881200","6.46307802800",0.041
Sat Mar 30 2019 23:50:01 GMT+0000 (Coordinated Universal Time),"53.34958837900","6.46308215900",0.024
Sat Mar 30 2019 23:49:55 GMT+0000 (Coordinated Universal Time),"53.34982266000","6.46278797200",0.059
Sat Mar 30 2019 23:49:51 GMT+0000 (Coordinated Universal Time),"53.34982836500","6.46277062100",0.024
Sat Mar 30 2019 23:49:46 GMT+0000 (Coordinated Universal Time),"53.34983204500","6.46274968800",0.033
Sat Mar 30 2019 23:49:40 GMT+0000 (Coordinated Universal Time),"53.34983451900","6.46272754300",0.054
Sat Mar 30 2019 23:49:35 GMT+0000 (Coordinated Universal Time),"53.34983417900","6.46270720200",0.04
Sat Mar 30 2019 23:49:24 GMT+0000 (Coordinated Universal Time),"53.34982883100","6.46268710600",0.066
Sat Mar 30 2019 23:49:20 GMT+0000 (Coordinated Universal Time),"53.34982129000","6.46267212700",0.097
Sat Mar 30 2019 23:49:16 GMT+0000 (Coordinated Universal Time),"53.34981359800","6.46265556700",0.058
Sat Mar 30 2019 23:49:13 GMT+0000 (Coordinated Universal Time),"53.34980485200","6.46263739900",0.027
Sat Mar 30 2019 23:49:10 GMT+0000 (Coordinated Universal Time),"53.34979511300","6.46261293900",0.052
Sat Mar 30 2019 23:49:08 GMT+0000 (Coordinated Universal Time),"53.34978516100","6.46259525200",0.01
Sat Mar 30 2019 23:49:03 GMT+0000 (Coordinated Universal Time),"53.34979410400","6.46262439200",0.107
Sat Mar 30 2019 23:49:01 GMT+0000 (Coordinated Universal Time),"53.34980118700","6.46265535200",0.029
Sat Mar 30 2019 23:48:59 GMT+0000 (Coordinated Universal Time),"53.34978751800","6.46265634800",0.018
Sat Mar 30 2019 23:48:58 GMT+0000 (Coordinated Universal Time),"53.34977425700","6.46266803500",0.113
Sat Mar 30 2019 23:48:57 GMT+0000 (Coordinated Universal Time),"53.34976324000","6.46267971800",0.163
Sat Mar 30 2019 23:48:55 GMT+0000 (Coordinated Universal Time),"53.34973802700","6.46270264100",0.054
Sat Mar 30 2019 23:48:54 GMT+0000 (Coordinated Universal Time),"53.34972403700","6.46270155200",0.161
Sat Mar 30 2019 23:48:53 GMT+0000 (Coordinated Universal Time),"53.34971915000","6.46265688700",0.133
Sat Mar 30 2019 23:48:52 GMT+0000 (Coordinated Universal Time),"53.34970113300","6.46257911800",0.022
Sat Mar 30 2019 23:48:51 GMT+0000 (Coordinated Universal Time),"53.34953075500","6.46220632700",0.08
Sat Mar 30 2019 23:48:50 GMT+0000 (Coordinated Universal Time),"53.34972134600","6.46219172600",1.059
Sat Mar 30 2019 23:48:44 GMT+0000 (Coordinated Universal Time),"53.34963949100","6.46315756600",0.07
Sat Mar 30 2019 23:48:33 GMT+0000 (Coordinated Universal Time),"53.34964729200","6.46317300300",0.046
Sat Mar 30 2019 23:48:16 GMT+0000 (Coordinated Universal Time),"53.34965098800","6.46315465700",0.03
Sat Mar 30 2019 23:48:09 GMT+0000 (Coordinated Universal Time),"53.34965650100","6.46313736400",0.135
Sat Mar 30 2019 23:48:04 GMT+0000 (Coordinated Universal Time),"53.34966271000","6.46312010500",0.034
Sat Mar 30 2019 23:47:59 GMT+0000 (Coordinated Universal Time),"53.34966172500","6.46310045500",0.041
Sat Mar 30 2019 23:47:55 GMT+0000 (Coordinated Universal Time),"53.34966366100","6.46308035700",0.022
Sat Mar 30 2019 23:47:51 GMT+0000 (Coordinated Universal Time),"53.34966672900","6.46305317300",0.027
Sat Mar 30 2019 23:47:49 GMT+0000 (Coordinated Universal Time),"53.34966492300","6.46303395500",0.008
Sat Mar 30 2019 23:47:46 GMT+0000 (Coordinated Universal Time),"53.34965967000","6.46300782500",0.046
Sat Mar 30 2019 23:47:44 GMT+0000 (Coordinated Universal Time),"53.34965506000","6.46298619100",0.046
Sat Mar 30 2019 23:47:43 GMT+0000 (Coordinated Universal Time),"53.34964283500","6.46298132400",0.081
Sat Mar 30 2019 23:47:42 GMT+0000 (Coordinated Universal Time),"53.34962807800","6.46297614900",0.025
Sat Mar 30 2019 23:47:41 GMT+0000 (Coordinated Universal Time),"53.34961178900","6.46297216300",0.027
Sat Mar 30 2019 23:47:40 GMT+0000 (Coordinated Universal Time),"53.34956646000","6.46299142000",0.015
